Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
Species Family,Species,ID,Time,Date,User,City,District,Place,Altitude,Latitude,Longitude,Description
春蜓科,鉤紋春蜓,34354,09:40:00,2018-05-15,Leo,台北市,內湖區,內溝溪,54,25.09747230292228,121.613609790802,
春蜓科,鉤紋春蜓,34320,14:35:00,2018-05-13,skink,桃園市,大溪區,永福里娘子坑,141,24.902124438303034,121.31772994995117,
春蜓科,鉤紋春蜓,34175,15:23:00,2018-05-11,skink,台北市,文山區,臺北市立動物園收容中心,55,24.997011332289325,121.58789264037296,
春蜓科,鉤紋春蜓,34136,14:35:00,2018-05-10,skink,台北市,文山區,臺北市立動物園體能鍛鍊場入口,102,24.991807633743427,121.59085661172867,
春蜓科,鉤紋春蜓,33688,10:00:00,2018-04-27,skink,台北市,文山區,臺北市立動物園保育區,53,24.996867799640658,121.58813148736954,
春蜓科,鉤紋春蜓,33128,09:25:00,2018-04-11,skink,台北市,文山區,臺北市立動物園環園道路,77,24.991671703686723,121.58801296027445,
春蜓科,鉤紋春蜓,32992,10:00:00,2018-04-06,roach,桃園市,大溪區,娘子坑,162,24.904767904937138,121.31939155063378,
春蜓科,鉤紋春蜓,33037,12:50:00,2018-04-03,tang,台北市,文山區,臺北市立動物園昆蟲館蟲蟲探索谷,100,24.99396,121.58056,
春蜓科,鉤紋春蜓,32802,11:10:00,2018-03-28,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,158,24.66183678682333,121.03519746035783,
春蜓科,鉤紋春蜓,32669,09:00:00,2018-03-21,天空遊民,新竹縣,關西鎮,洋清橋上游,158,24.787262588708863,121.19250866101106,
春蜓科,鉤紋春蜓,32380,10:18:00,2018-03-14,天空遊民,新竹縣,關西鎮,四寮溪老茄冬樹,195,24.791925205309575,121.20322003114575,
春蜓科,鉤紋春蜓,24241,17:16:00,2017-07-14,Tyus Ma,台北市,北投區,財福海芋田,690,25.177119996581617,121.5408257686222,
春蜓科,鉤紋春蜓,24110,08:30:00,2017-07-09,Leo,桃園市,大溪區,娘子坑,142,24.902255811580016,121.31772994995117,
春蜓科,鉤紋春蜓,24118,07:56:00,2017-07-09,Tyus Ma,桃園市,大溪區,永福里,142,24.902198943998112,121.31779432296753,
春蜓科,鉤紋春蜓,24053,10:30:00,2017-07-08,Leo,新北市,石門區,尖山湖,218,25.24518500844498,121.562930599423,
春蜓科,鉤紋春蜓,24065,10:00:00,2017-07-08,fernslu,新北市,三芝區,尖山湖,205,25.24572614222474,121.56325056545029,
春蜓科,鉤紋春蜓,24031,09:00:00,2017-07-07,cclin,基隆市,七堵區,情人湖,160,25.159356630876772,121.70534133911133,
