Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
珈蟌科,細胸珈蟌,61296,13:50:00,2020-03-23,ying-o hsiung,新竹縣,峨眉鄉,石硬子,219,24.668819337327523,121.04551792144774,
珈蟌科,細胸珈蟌,61298,15:04:00,2020-03-22,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668585344940514,121.04551792144774,
珈蟌科,細胸珈蟌,61300,12:51:00,2020-03-22,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668760839271894,121.04637622833253,
珈蟌科,細胸珈蟌,61482,09:30:00,2020-03-22,chuntinglu,基隆市,七堵區,瑪陵坑溪,92,25.13112354900534,121.67370200157164,
珈蟌科,細胸珈蟌,61272,09:53:00,2020-03-21,天空遊民,新竹縣,關西鎮,四寮溪,186,24.791059220821737,121.20288848876955,
珈蟌科,細胸珈蟌,61293,13:06:00,2020-03-21,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.66875108959329,121.0461938381195,
珈蟌科,細胸珈蟌,61611,08:00:00,2020-03-21,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
珈蟌科,細胸珈蟌,61612,10:47:00,2020-03-21,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
珈蟌科,細胸珈蟌,61618,08:45:00,2020-03-21,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
珈蟌科,細胸珈蟌,61268,10:29:00,2020-03-20,ying-o hsiung,新竹縣,峨眉鄉,石硬子,218,24.668468348582422,121.04686975479126,
珈蟌科,細胸珈蟌,61269,10:33:00,2020-03-20,ying-o hsiung,新竹縣,峨眉鄉,石硬子,216,24.668390350949412,121.0469341278076,
珈蟌科,細胸珈蟌,61568,09:55:00,2020-03-20,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
珈蟌科,細胸珈蟌,61262,12:23:00,2020-03-18,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668682841821756,121.04536771774293,
珈蟌科,細胸珈蟌,61159,12:00:00,2020-03-17,skink,新北市,烏來區,福山村,228,24.668721840552944,121.04618310928345,
珈蟌科,細胸珈蟌,61158,11:01:00,2020-03-16,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668721840552944,121.04618310928345,
珈蟌科,細胸珈蟌,61160,10:50:00,2020-03-16,ying-o hsiung,新竹縣,峨眉鄉,石硬子,159,24.661924630962908,121.03544732734792,
珈蟌科,細胸珈蟌,61126,13:00:00,2020-03-11,skink,新竹縣,關西鎮,茄苳窩,163,24.78379554158035,121.18742529305109,
珈蟌科,細胸珈蟌,60943,12:44:00,2020-03-07,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.66870234118886,121.04663372039795,
珈蟌科,細胸珈蟌,60944,12:46:00,2020-03-07,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668780338626814,121.046462059021,
珈蟌科,細胸珈蟌,60934,11:34:00,2020-03-06,ying-o hsiung,新竹縣,峨眉鄉,石硬子,219,24.668507347380658,121.04682683944702,
珈蟌科,細胸珈蟌,60893,12:10:00,2020-03-04,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668721840552944,121.04622602462769,
珈蟌科,細胸珈蟌,60889,13:40:00,2020-03-03,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668741339913947,121.04639768600464,
珈蟌科,細胸珈蟌,60890,13:49:00,2020-03-03,ying-o hsiung,新竹縣,峨眉鄉,石硬子,227,24.66866334245162,121.04616165161131,
珈蟌科,細胸珈蟌,60852,12:39:00,2020-03-02,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668799837978682,121.04631185531616,
珈蟌科,細胸珈蟌,60853,12:39:00,2020-03-02,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668799837978682,121.04631185531616,
珈蟌科,細胸珈蟌,60854,12:39:00,2020-03-02,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668799837978682,121.04631185531616,
珈蟌科,細胸珈蟌,60855,14:07:00,2020-03-02,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66866334245162,121.04553937911987,
珈蟌科,細胸珈蟌,60796,13:12:00,2020-02-27,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668741339913947,121.04644060134886,
珈蟌科,細胸珈蟌,60797,12:48:00,2020-02-27,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668741339913947,121.04631185531616,
珈蟌科,細胸珈蟌,60754,13:12:00,2020-02-26,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668760839271894,121.04653716087343,
珈蟌科,細胸珈蟌,60755,13:15:00,2020-02-26,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668760839271894,121.0464835166931,
珈蟌科,細胸珈蟌,60736,12:22:00,2020-02-25,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668731590233815,121.04637086391448,
珈蟌科,細胸珈蟌,60737,13:07:00,2020-02-25,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668731590233815,121.04634404182434,
珈蟌科,細胸珈蟌,60682,12:46:00,2020-02-24,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668780338626814,121.0464835166931,
珈蟌科,細胸珈蟌,60683,12:52:00,2020-02-24,ying-o hsiung,新竹縣,峨眉鄉,石硬子,229,24.668819337327523,121.04639768600464,
珈蟌科,細胸珈蟌,60482,14:26:00,2020-02-18,ying-o hsiung,新竹縣,峨眉鄉,石硬子,214,24.66833185269265,121.04708433151245,
珈蟌科,細胸珈蟌,60399,12:55:00,2020-02-14,ying-o hsiung,新竹縣,峨眉鄉,石硬子,216,24.66840010065621,121.04680538177489,
珈蟌科,細胸珈蟌,49940,13:09:00,2019-05-12,skink,新竹縣,關西鎮,阿化窩,307,24.77865056161526,121.22848644853548,
珈蟌科,細胸珈蟌,47849,09:30:00,2019-05-05,cclin,宜蘭縣,員山鄉,阿玉山林道,609,24.76116943079092,121.6123515090485,
珈蟌科,細胸珈蟌,52235,10:57:00,2019-04-22,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668088109660882,121.04511022567749,
珈蟌科,細胸珈蟌,51522,12:19:00,2019-04-15,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668585344940514,121.04566812515259,
珈蟌科,細胸珈蟌,51523,12:22:00,2019-04-15,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66855609586129,121.04563057422638,
珈蟌科,細胸珈蟌,46930,11:00:00,2019-04-14,leowang,桃園市,大溪區,永安宮,162,24.90518734554997,121.32001787424088,
珈蟌科,細胸珈蟌,46970,13:47:00,2019-04-14,lyajhoo,桃園市,大溪區,永福里烏塗窟,212,24.907987995199637,121.32492065808867,
珈蟌科,細胸珈蟌,46972,15:18:00,2019-04-14,lyajhoo,桃園市,大溪區,永福里娘子坑,140,24.901955089800595,121.31762898729153,
